-;more then one airline
JP;Adria Airways
A3;Aegean Airlines
AC;Air Canada
RV;Air Canada Rouge
CA;Air China
AI;Air India
NZ;Air New Zealand
NH;All Nippon Airways
OZ;Asiana Airlines
OS;Austrian Airlines
AV;Avianca
TA;TACA-Avianca El Salvador
LR;LACSA-Avianca Costa Rica
A0;Avianca(Argentina)
O6;Avianca(Brasil)
SN;Brussels Airlines
CM;Copa Airlines
OU;Croatia Airlines
MS;EgyptAir
ET;Ethiopian Airlines
BR;EVA Air
LO;LOT Polish Airlines
LH;Lufthansa
SK;Scandinavian Airlines
ZH;Shenzhen Airlines
SQ;Singapore Airlines
SA;South African
LX;Swiss International
TP;TAP Air Portugal
TG;Thai Airways
TK;Turkish Airlines
UA;United Airlines
