Europe;30;60;100;70;80;40;60;60;80;80;100
North America;60;30;40;35;60;80;100;100;80;80;80
Hawaii;100;40;0;60;80;100;100;100;60;40;40
Central America;70;35;60;30;35;100;100;100;100;100;80
South America;80;60;80;35;30;100;60;100;100;100;80
North Africa & Middle East;40;80;100;100;100;30;40;30;60;80;100
South Africa;60;100;100;100;60;40;30;60;80;100;100
India;60;100;100;100;100;30;60;30;40;40;80
South East Asia;80;80;60;100;100;60;80;40;30;40;60
Far East and Central Asia;80;80;40;100;100;80;100;40;40;30;60
Australia & Oceania;100;80;40;80;80;100;100;80;60;60;30
